P-of-T,SUBJ,NUMB,SECT,CRN,TITLE,NOTES,HRS,ENRLD,MAXENRL,TIMES,DAYS,LOCATION,INSTRUCTOR,CAMPUS
1,BUSA,3213,1,24387,STATS FOR BUSINESS & ECON,,3,32,25,03:30-04:45,M W,0123 BYWATERS ACADEMIC,"Gebremikael, Fesseha",Main Campus
1,BUSA,3313,1,24260,"LEGAL,SOCIAL,ETHICAL ENVIRO",,3,43,40,09:30-10:45,M W,0218 BYWATERS ACADEMIC,"Drew, Michelle",Main Campus
1,BUSA,4120,1,26531,INTERNSHIP (2010),- No-cost:$0 required txtbk cost,1,1,25,,,0113 BYWATERS ACADEMIC,"Ivory, Regina",Main Campus
1,BUSA,4123,1,24042,INTERNSHIP (2016),- No-cost:$0 required txtbk cost,3,5,25,,,0218 BYWATERS ACADEMIC,"Ivory, Regina",Main Campus
1,BUSA,4353,1,26532,INTRO TO INTERNATIONAL BUSINES,,3,11,40,09:30-10:45,T R,0204 BYWATERS ACADEMIC,"Drew, Michelle",Main Campus
1,CHEM,1211K,1,21263,PRINCIPLE OF CHEMISTRY I,- Hope & Zell Miller STEM Course,4,35,35,09:00-09:50,M W F,0321 ACADEMIC CLASSROOM BUILDI,"Bright, Robin",Main Campus
,,,,,,- $40 or under req txtbks cost,,,,,,,,
1,CHEM,1211K,2,23058,PRINCIPLE OF CHEMISTRY I,- Hope & Zell Miller STEM Course,4,33,35,10:00-10:50,M W F,0314 ACADEMIC CLASSROOM BUILDI,"Mack, James",Main Campus
1,CHEM,1211K,3,25001,PRINCIPLE OF CHEMISTRY I,- Hope & Zell Miller STEM Course,4,39,35,11:00-11:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"Holmes, Tiffani",Main Campus
,,,,,,- $40 or under req txtbks cost,,,,,,,,
1,CHEM,1211K,4,27582,PRINCIPLE OF CHEMISTRY I,- Hope & Zell Miller STEM Course,4,38,35,11:00-11:50,M W F,0314 ACADEMIC CLASSROOM BUILDI,"Mack, James",Main Campus
1,CHEM,1211L,51,24217,PRIN OF CHEM LAB,- $40 or under req txtbks cost,0,24,24,03:00-05:50,M,0235 ACADEMIC CLASSROOM BUILDI,"Holmes, Tiffani",Main Campus
1,CHEM,1211L,52,24218,PRIN OF CHEM LAB,- $40 or under req txtbks cost,0,24,24,03:00-05:50,M,0237 ACADEMIC CLASSROOM BUILDI,"Mack, James",Main Campus
1,CHEM,1211L,53,25123,PRIN OF CHEM LAB,,0,23,24,03:00-05:50,T,0237 ACADEMIC CLASSROOM BUILDI,"Mack, James",Main Campus
1,CHEM,1211L,54,25124,PRIN OF CHEM LAB,- $40 or under req txtbks cost,0,24,24,03:00-05:50,W,0237 ACADEMIC CLASSROOM BUILDI,"Bright, Robin",Main Campus
1,CHEM,1211L,55,27583,PRIN OF CHEM LAB,,0,24,24,03:00-05:50,W,0235 ACADEMIC CLASSROOM BUILDI,"Mack, James",Main Campus
1,CHEM,1211L,56,28003,PRIN OF CHEM LAB,,0,25,24,03:00-05:50,F,0237 ACADEMIC CLASSROOM BUILDI,"Mack, James",Main Campus
1,CHEM,1212K,1,22211,PRIN CHEMISTRY II,- $40 or under req txtbks cost,4,32,35,02:00-02:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"Holmes, Tiffani",Main Campus
1,CHEM,1212K,2,24650,PRIN CHEMISTRY II,- $40 or under req txtbks cost,4,17,35,10:00-10:50,M W F,0321 ACADEMIC CLASSROOM BUILDI,"Bright, Robin",Main Campus
1,CHEM,1212L,51,24220,PRIN OF CHEM LAB II,- $40 or under req txtbks cost,0,30,35,12:00-02:45,T,0235 ACADEMIC CLASSROOM BUILDI,"Holmes, Tiffani",Main Campus
1,CHEM,1212L,52,24759,PRIN OF CHEM LAB II,- $40 or under req txtbks cost,0,19,35,03:00-05:50,T,0235 ACADEMIC CLASSROOM BUILDI,"Bright, Robin",Main Campus
1,CHEM,2221K,1,21267,PRIN ORGANIC CHEMISTRY I,,4,47,35,09:00-09:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"Daniels, Dwayne",Main Campus
1,CHEM,2221L,51,24221,PRIN ORGANIC CHEM LAB,,0,47,35,08:00-10:50,T,0340 ACADEMIC CLASSROOM BUILDI,"Simpson, Jessica",Main Campus
1,CHEM,2222K,1,25118,PRIN ORGANIC CHEM II,,4,11,35,08:00-08:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"Daniels, Dwayne",Main Campus
1,CHEM,2222L,51,25120,PRIN ORGANIC CHEM II LAB,,0,11,35,02:00-04:50,M,0337 ACADEMIC CLASSROOM BUILDI,"Daniels, Dwayne",Main Campus
1,CHEM,3250K,1,21275,PRIN BIOCHEMISTRY,,4,32,30,10:00-10:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"Daniels, Dwayne",Main Campus
1,CHEM,3250L,51,24223,PRIN BIOCHEM LAB,- No-cost:$0 required txtbk cost,0,32,30,08:00-10:50,R,0337 ACADEMIC CLASSROOM BUILDI,"Simpson, Jessica",Main Campus
1,CHEM,3341K,1,21271,PRIN ANALYTICAL CHEMISTRY,,4,11,20,12:00-12:50,M W F,0314 ACADEMIC CLASSROOM BUILDI,"Bright, Robin",Main Campus
1,CHEM,3341L,51,24224,PRIN ANAL CHEM LAB,,0,11,20,02:00-04:50,M,0342 ACADEMIC CLASSROOM BUILDI,"Bright, Robin",Main Campus
1,CHEM,3342K,1,28015,CHEMICAL INSTRUMENTATION,,4,1,20,07:00-09:00,T,,"Bright, Robin",Main Campus
1,CHEM,3342L,51,28016,CHEMICAL INSTRUMENTATION LAB,,0,1,20,07:00-09:00,M,,"Bright, Robin",Main Campus
1,CHEM,4331*,51,21973,PHYSICAL CHEM LAB,,0,9,20,06:00-08:50,F,0342 ACADEMIC CLASSROOM BUILDI,"Holmes, Tiffani",Main Campus
1,CHEM,4331K,1,25610,PHYSICAL CHEMISTRY I,,4,9,20,01:00-01:50,M W F,0223 ACADEMIC CLASSROOM BUILDI,"Holmes, Tiffani",Main Campus
1,CHEM,4450,1,21280,SENIOR PROJECT,,2,4,12,06:00-08:00,R,0337 ACADEMIC CLASSROOM BUILDI,"Mack, James",Main Campus
1,CHEM,5304,WH,28007,ENVIORNMENTAL ANALYSES,,3,9,60,06:00-09:00,M,0117 ONEAL VET TECH BLD,"Samples, Oreta",Main Campus
1,COMM,1110,2,21281,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,26,25,09:30-10:45,T R,0202 FOUNDERS ACADEMIC,"Akbar, Maisha",Main Campus
1,COMM,1110,3,21283,PUBLIC SPEAKING/LC,- No-cost:$0 required txtbk cost,3,23,25,12:30-01:45,T R,0202 FOUNDERS ACADEMIC,"Akbar, Maisha",Main Campus
1,COMM,1110,4,21286,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,23,25,02:00-03:15,T R,0202 FOUNDERS ACADEMIC,"Akbar, Maisha",Main Campus
1,COMM,1110,8,27666,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,28,25,02:00-03:15,T R,0102 FOUNDERS ACADEMIC,"Brown, Juone",Main Campus
1,COMM,1110,9,27672,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,32,25,09:30-10:45,T R,0102 FOUNDERS ACADEMIC,"Brown, Juone",Main Campus
1,COMM,1110,10,27673,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,29,25,12:30-01:45,T R,0102 FOUNDERS ACADEMIC,"Brown, Juone",Main Campus
1,COMM,1110,12,27674,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,27,25,02:00-03:15,T R,0203 FOUNDERS ACADEMIC,"Brown, Juone",Main Campus
1,COMM,1110,13,27675,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,25,25,03:30-04:45,T R,0102 FOUNDERS ACADEMIC,"Simonez, Tenora",Main Campus
1,COMM,1110,14,27710,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,27,25,08:00-08:50,M W F,0102 FOUNDERS ACADEMIC,"Simonez, Tenora",Main Campus
1,COMM,1110,15,27711,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,26,25,09:00-09:50,M W F,0102 FOUNDERS ACADEMIC,"Simonez, Tenora",Main Campus
1,COMM,1110,16,27712,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,25,25,12:30-01:45,T R,0101 FOUNDERS ACADEMIC,"Brown, Juone",Main Campus
1,COMM,1110,17,27713,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,25,25,03:30-04:45,T R,0101 FOUNDERS ACADEMIC,"Simonez, Tenora",Main Campus
1,COMM,1110,18,27714,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,27,25,05:00-06:15,T R,0202 FOUNDERS ACADEMIC,"Brown, Juone",Main Campus
1,COMM,1110,19,27724,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,26,25,08:00-08:50,M W F,0101 FOUNDERS ACADEMIC,"Simonez, Tenora",Main Campus
1,COMM,1110,20,27725,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,25,25,09:00-09:50,M W F,0101 FOUNDERS ACADEMIC,"Simonez, Tenora",Main Campus
1,COUN,5433,W1,27855,SUB ABUSE & ADDICTIONS COUNSEL,,3,17,20,,,,"Newton, James",On-Line
1,COUN,5463,70,27853,HUMAN GROWTH AND DEVELOPMENT,,3,18,20,06:00-09:00,T,FVSU - Warner Robins Si,"McCamey, Jimmy",FVSU-Warner Robins Campus
1,COUN,5533,W1,26816,FUND STAT & MEASUREMNTS,,3,24,20,,,,"Brenner, Jerry",On-Line
1,COUN,5533,WH,26817,FUND STAT & MEASUREMNTS,,3,20,20,,R,,"Brenner, Jerry",FVSU-Warner Robins Campus
1,COUN,5543,W1,27854,FUNDAMENTALS OF RESEARCH,,3,11,20,,,,"Newton, James",On-Line
1,COUN,5553,70,27634,MULTICULTURAL COUNSELING,,3,19,20,06:00-09:00,W,FVSU - Warner Robins Si,"Moore, Teah",FVSU-Warner Robins Campus
1,COUN,5623,70,27485,COUNSELING THEORIES & PROCESS,,3,28,20,06:00-09:00,R,FVSU - Warner Robins Si,"Everett, Otha",FVSU-Warner Robins Campus
1,COUN,5623,W1,26824,COUNSELING THEORIES & PROCESS,,3,25,20,,,,"Payne, Tamara",On-Line
1,COUN,5623,W2,28002,COUNSELING THEORIES & PROCESS,,3,24,20,,,,"Payne, Tamara",On-Line
1,COUN,5643,70,27080,FAMILY COUNSELING & GUIDANCE,,3,33,20,06:00-09:00,M,FVSU - Warner Robins Si,"McCamey, Jimmy",FVSU-Warner Robins Campus
1,COUN,5734,W1,27856,CLINICAL DIAG &TREATMENT PLAN,,3,22,20,,,,"Payne, Tamara",On-Line
1,COUN,5743,70,27852,CRISIS COUNSELING,,3,36,20,06:00-09:00,T,FVSU - Warner Robins Si,"Moore, Teah",FVSU-Warner Robins Campus
1,CRJU,2000,1,21856,INTRO CRIMINAL JUSTICE,- No-cost:$0 required txtbk cost,3,48,45,09:00-09:50,M W F,0222 BOND ACADEMIC BLDG,"Craig, Ronald",Main Campus
1,CRJU,2001,1,27782,REPORT WRITING,,3,19,40,05:00-06:15,M W,0222 BOND ACADEMIC BLDG,"Rodgers, Ronald",Main Campus
1,CRJU,2010,1,27588,C J ETHICS,,3,47,45,09:30-10:45,T R,0117 BOND ACADEMIC BLDG,"Barner-Bowman, Brandesha",Main Campus
1,CRJU,2100,1,27806,INTRO TO CORRECTIONS,,3,40,40,12:30-01:45,T R,0023 BOND ACADEMIC BLDG,"Vyas, Ashwin",Main Campus
1,CRJU,3000,1,27863,BASIC LAW ENFORCEMENT,- No-cost:$0 required txtbk cost,3,37,40,10:00-10:50,M W F,0123 BOND ACADEMIC BLDG,"Craig, Ronald",Main Campus
1,CRJU,3004,1,25885,THEORIES,,3,29,45,02:00-03:15,T R,0222 BOND ACADEMIC BLDG,"Vyas, Ashwin",Main Campus
1,CRJU,3010,1,24165,CRIMINAL LAW,,3,42,45,12:30-01:45,T R,0222 BOND ACADEMIC BLDG,"Trimble, Julius",Main Campus
1,CRJU,3016,1,27808,FORENSICS I,,3,28,30,05:00-06:15,T R,0218 BOND ACADEMIC BLDG,"Rodgers, Ronald",Main Campus
1,CRJU,3017,1,25560,FORENSICS II,,3,27,20,11:00-12:15,M W,0122 ACADEMIC CLASSROOM BUILDI,"Dhir, Seema",Main Campus
1,CRJU,3020,WH,27379,CRIMINAL PROCEDURE,- No-cost:$0 required txtbk cost,3,36,45,09:30-10:45,T R,0222 BOND ACADEMIC BLDG,"Craig, Ronald",Main Campus
1,CRJU,3030,1,27799,EVIDENCE,,3,40,40,10:00-10:50,M W F,0222 BOND ACADEMIC BLDG,"Barner-Bowman, Brandesha",Main Campus
1,CRJU,3060,1,24166,RESEARCH METHODS,,3,23,40,02:00-03:15,T R,0218 BOND ACADEMIC BLDG,"Murty, Komanduri",Main Campus
1,CRJU,3105,1,23941,INCARCERATION,,3,12,45,05:00-06:15,M W,0118 BOND ACADEMIC BLDG,"Vyas, Ashwin",Main Campus
1,CRJU,4020,1,27797,MOCK COURT,- No-cost:$0 required txtbk cost,3,46,45,12:30-01:45,T R,0117 BOND ACADEMIC BLDG,"Barner-Bowman, Brandesha",Main Campus
1,CRJU,4070,1,23027,CRIMINAL JUSTICE SEMINAR,,3,11,30,05:00-06:15,T R,0222 BOND ACADEMIC BLDG,"Vyas, Ashwin",Main Campus
1,CRJU,4080,1,27109,PRACTICUM,,6,1,20,10:00-10:50,T,0218 BOND ACADEMIC BLDG,"Murty, Komanduri",Main Campus
1,CRJU,4080,GO1,27831,PRACTICUM,,6,6,25,,,,"Trimble, Julius",Georgia-On My Line
1,CSCI,1102,1,23738,CSCI & CSIS: AN OVERVIEW,,3,30,30,09:30-10:45,T R,0302 COMPUTER TECHNOLOGY/MATHE,"Naghedolfeizi, Masoud",Main Campus
1,CSCI,1153,1,21272,INTRO TO COMPUTERS,,3,30,25,02:00-03:15,T R,0320 COMPUTER TECHNOLOGY/MATHE,"Naghedolfeizi, Masoud",Main Campus
1,CSCI,1153,2,21274,INTRO TO COMPUTERS,,3,29,30,01:00-02:15,M W,0320 COMPUTER TECHNOLOGY/MATHE,"Yousif, Nabil",Main Campus
1,CSCI,1153,3,21277,INTRO TO COMPUTERS,,3,26,25,04:20-05:35,M W,0320 COMPUTER TECHNOLOGY/MATHE,"Naghedolfeizi, Masoud",Main Campus
1,CSCI,1153,4,23644,INTRO TO COMPUTERS,,3,28,25,03:00-04:15,M W,0320 COMPUTER TECHNOLOGY/MATHE,"Yousif, Nabil",Main Campus
1,CSCI,1153,5,27389,INTRO TO COMPUTERS,,3,27,30,05:40-06:55,M W,0320 COMPUTER TECHNOLOGY/MATHE,"Bezawada, Sylvia",Main Campus
1,CSCI,1153,6,27665,INTRO TO COMPUTERS,,3,27,25,05:30-06:45,T R,0320 COMPUTER TECHNOLOGY/MATHE,"Clark, Vestilla",Main Campus
1,CSCI,1153,W1,25131,INTRO TO COMPUTERS,,3,28,30,,,ONLI WEB/ D2L ONLINE,"Naghedolfeizi, Masoud",On-Line
1,CSCI,1301,1,26671,PRIN PROGRAM I,- Hope & Zell Miller STEM Course,4,23,25,11:00-12:15,M W,0319 COMPUTER TECHNOLOGY/MATHE,"Zeng, Xiangyan",Main Campus
1,CSCI,1301L,51,26672,PRIN PROGRAM I,,0,23,25,12:30-02:10,F,0319 COMPUTER TECHNOLOGY/MATHE,"Zeng, Xiangyan",Main Campus
1,CSCI,1302,1,24686,PRIN OF PROGRAM II,- Hope & Zell Miller STEM Course,4,11,25,11:00-12:15,T R,0320 COMPUTER TECHNOLOGY/MATHE,"Yousif, Nabil",Main Campus
1,CSCI,1302L,51,26670,PRIN OF PROGRAM II LAB,,0,11,25,04:30-06:10,W,0319 COMPUTER TECHNOLOGY/MATHE,"Yousif, Nabil",Main Campus
1,CSCI,2201,1,21292,DIGITAL FUNDAMENTALS,- Hope & Zell Miller STEM Course,3,22,25,12:30-01:45,T R,0302 COMPUTER TECHNOLOGY/MATHE,"Wang, Haixin",Main Campus
1,CSCI,3110,1,27917,SECURITY SCRIPT PROGRAMMING,,3,17,25,11:00-12:15,M W,0320 COMPUTER TECHNOLOGY/MATHE,"Yousif, Nabil",Main Campus
1,CSCI,3250,1,27800,NETWORK AND INTERNET SECURITY,,3,14,25,09:00-09:50,M W F,0319 COMPUTER TECHNOLOGY/MATHE,"Naghedolfeizi, Masoud",Main Campus
1,CSCI,3331,1,24418,C/UNIX,- No-cost:$0 required txtbk cost,3,24,25,02:00-03:15,T R,0321 COMPUTER TECHNOLOGY/MATHE,"Yousif, Nabil",Main Campus
1,CSCI,3339,1,24688,THEORY PROGRAMMING LANGUAGES,,3,3,25,05:30-08:00,W,0303 COMPUTER TECHNOLOGY/MATHE,"Clark, Vestilla",Main Campus
1,CSCI,4340,1,21301,PRIN OPERATING SYSTEM,,3,20,25,10:00-10:50,M W F,0320 COMPUTER TECHNOLOGY/MATHE,"Zeng, Xiangyan",Main Campus
1,CSCI,4520,1,26837,ANALYSIS OF ALGORITHMS,,3,22,25,09:30-10:45,T R,0319 COMPUTER TECHNOLOGY/MATHE,"Wang, Haixin",Main Campus
1,DRAM,4394,1,26704,PLAY PRODUCTION II,,3,0,25,,,,,Main Campus
1,ECON,2105,1,26533,PRIN OF MACROECON,,3,42,40,11:00-12:15,T R,0105 BYWATERS ACADEMIC,"Nelson, Mack",Main Campus
1,ECON,2105,2,24708,PRIN OF MACROECON,,3,39,40,02:00-03:15,M W,0304 COMPUTER TECHNOLOGY/MATHE,"Burell, Bhavana",Main Campus
1,ECON,2106,1,22507,PRINCIPLES OF MICROECONOMICS,,3,47,40,03:30-04:45,T R,0204 BYWATERS ACADEMIC,"Douge, Randall",Main Campus
1,ECON,2106,2,27059,PRINCIPLES OF MICROECONOMICS,,3,45,40,09:30-10:45,T R,0105 BYWATERS ACADEMIC,"Nelson, Mack",Main Campus
1,ECON,3103,1,23600,INTERM MICROECONOMICS,,3,8,40,12:30-01:45,T R,0105 BYWATERS ACADEMIC,"Thomas, Marc",Main Campus
1,ECSP,3000,1,27791,EXPLORE OF LEARN/CREATIVE ART,,1,4,15,05:00-07:00,M,0108 HUBBARD EDUCATION,"Pratt-Everett, Doris",Main Campus
1,ECSP,3131,1,24980,NATURE & CURR NEEDS ECSP LEARN,,3,4,20,10:00-11:15,T R,0110 HUBBARD EDUCATION,"Sianjina, Rayton",Main Campus
1,ECSP,3132,1,24978,CLASS ROOM MNGT. STRATEGIES,,3,5,25,03:30-04:45,M W,0108 HUBBARD EDUCATION,"Pratt-Everett, Doris",Main Campus
1,ECSP,3232,1,27094,METHODS OF TEACHING SCIENCE,,3,6,20,12:30-01:45,T R,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,ECSP,3532,1,27092,METHODS OF TEACHING MATH,,3,6,20,03:30-04:45,M W,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,ECSP,3732,1,27093,EARLY CHILDHOOD/SPEC ED PRACT.,,1,6,20,08:00-12:00,MTWRF,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,ECSP,4000,1,27600,CHAR LEARNERS WITH SPEC. NEEDS,,2,2,15,01:00-01:50,M W,0108 HUBBARD EDUCATION,"Pratt-Everett, Doris",Main Campus
1,ECSP,4005,1,27732,INCLUSIVE PRACTICES,,2,3,15,02:00-02:50,M W,0108 HUBBARD EDUCATION,"Pratt-Everett, Doris",Main Campus
1,ECSP,4020,1,27789,DIAGNOSIS & REMED READ/WRITING,,3,7,20,12:30-01:45,M W,0106 HUBBARD EDUCATION,"Pope, Letasha",Main Campus
1,ECSP,5425,70,27705,EDUC ASSESS & PROG PLAN,,3,5,10,09:00-12:00,S,FVSU - Warner Robins Si,"Peck, Barbara",Main Campus
1,ECSP,5427,70,27704,ETHICS AND THE LAW,,3,4,10,12:05-03:05,S,FVSU - Warner Robins Si,"Peck, Barbara",FVSU-Warner Robins Campus
1,EDMG,3131,1,24355,NATURE AND NEEDS IN MG,,3,1,25,10:00-11:15,T R,0110 HUBBARD EDUCATION,"Sianjina, Rayton",Main Campus
1,EDMG,3132,1,24475,CLASSROOM MANAGEMENT STRAT,,3,3,25,03:30-04:45,M W,0108 HUBBARD EDUCATION,"Pratt-Everett, Doris",Main Campus
1,EDMG,3232,1,27090,MTHDS OF TEACH. SCI MG,,3,4,25,12:30-01:45,T R,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,EDMG,3532,1,27089,MTHDS OF TEACH. MATH MG,,3,4,25,03:30-04:45,M W,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,EDMG,3732,1,27091,MIDDLE SCHOOL PRACTICUM II,,3,4,25,08:00-12:00,MTWRF,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,EDMG,5613,70,27948,CURR NEEDS OF TRANS LEARNER,,3,6,15,12:05-03:05,,FVSU - Warner Robins Si,"Forde', Nancy",FVSU-Warner Robins Campus
1,EDMG,5623,70,27096,MTHODS/PROBLEMS TCH MIDDLE GRD,- No-cost:$0 required txtbk cost,3,4,5,05:00-08:00,W,0203 TABOR AGR ACAD,"Borne, Curtis",Main Campus
1,EDSC,5013,70,26512,EVALUATION AND TESTING IN EDU,,3,9,25,06:00-09:00,R,FVSU - Warner Robins Si,"Sianjina, Rayton",FVSU-Warner Robins Campus
1,EDSC,5033,70,26514,CAREER COUNSELING,,3,6,25,06:00-09:00,W,FVSU - Warner Robins Si,"Davis, Pamela",FVSU-Warner Robins Campus
1,EDSC,5143,70,25215,COUNSELING THEORIES,,3,6,25,06:00-09:00,T,FVSU - Warner Robins Si,"Davis, Pamela",FVSU-Warner Robins Campus
1,EDSC,5223,70,26853,COMPREHENSIVE SCH COUNSELING,,3,10,25,06:00-09:00,W,FVSU - Warner Robins Si,"Nelson, Kimberley",FVSU-Warner Robins Campus
1,EDSC,5893,70,26513,SCHOOL COUNSELING INTERN I,,3,6,15,06:00-09:00,M,FVSU - Warner Robins Si,"Nelson, Kimberley",FVSU-Warner Robins Campus
1,EDSC,5993,70,27332,SCHOOL COUNSELING INTERN II,,3,4,15,06:00-09:00,M,FVSU - Warner Robins Si,"Jarvis, Thomas",FVSU-Warner Robins Campus
1,EDSC,6143,W1,26520,CLINICAL SUPERVISION,,3,9,25,,,,"Jarvis, Thomas",On-Line
1,EDSC,6263,70,27950,ADV. SEMINAR IN STUDENT ISSUES,,3,13,25,06:00-09:00,R,FVSU - Warner Robins Si,"Mobley, Jerry",Main Campus
1,EDSC,6563,W1,27356,ADVANCED CAREER COUNSELING,,1,4,25,,,,"Davis, Pamela",On-Line
1,EDUC,2000,1,25174,GACE BASIC SKILLS PREP,,1,45,30,02:00-02:50,T R,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,EDUC,2503,1,27605,EXCEPTIONALITIES & INSTRUCTION,,3,23,30,05:30-08:30,M,0109 HUBBARD EDUCATION,"Peck, Barbara",Main Campus
1,EDUC,5793,70,26100,APPLIED RESEARCH PRACTICUM,,1,9,25,02:30-05:30,M,FVSU - Warner Robins Si,"Mobley, Jerry",FVSU-Warner Robins Campus
1,EDUC,5793,71,27141,APPLIED RESEARCH PRACTICUM,,1,2,10,05:00-08:00,M,FVSU - Warner Robins Si,"Sianjina, Rayton",FVSU-Warner Robins Campus
1,EDUC,6663,W1,27846,ADV. MULTICULTURAL STUDIES,,3,7,25,,,,"Nelson, Kimberley",On-Line
1,EDUC,6863,70,26519,RESEARCH PROJECT IN COUNSELING,,1,4,25,02:30-05:30,R,FVSU - Warner Robins Si,"Mobley, Jerry",FVSU-Warner Robins Campus
1,EEGG,2113,1,27345,CIRCUITS I,,3,3,10,02:00-03:15,T R,0302 COMPUTER TECHNOLOGY/MATHE,"Wang, Haixin",Main Campus
1,ELET,1100,1,25236,ORI ELECTRONIC ENGR TECH,- $40 or under req txtbks cost,1,30,32,01:00-01:50,W F,0202 TABOR AGR ACAD,"Uy, Domingo",Main Campus
1,ELET,1150,1,21949,COMPUTER APPLICATIONS IN EET,- No-cost:$0 required txtbk cost,1,8,12,12:30-03:15,T,0208 TABOR AGR ACAD,"Qiu, Hao",Main Campus
1,ELET,1210,1,25788,DC CIRCUIT ANALYSIS,- No-cost:$0 required txtbk cost,4,10,15,10:00-10:50,M W F,0203 TABOR AGR ACAD,"Qiu, Hao",Main Campus
1,ELET,1210L,51,25789,DC CIRCUIT LAB,- No-cost:$0 required txtbk cost,0,10,15,03:00-04:50,M,0213 TABOR AGR ACAD,"Qiu, Hao",Main Campus
1,ELET,1211,1,27847,AC CIRCUIT ANALYSIS,,4,13,15,11:00-11:50,M W F,0203 TABOR AGR ACAD,"Eldurssi, Awad",Main Campus
1,ELET,1211%,51,27848,AC CIRCUIT LAB,- No-cost:$0 required txtbk cost,0,13,15,03:00-04:50,W,0213 TABOR AGR ACAD,"Eldurssi, Awad",Main Campus
1,ELET,3311,1,22357,ELECTRONIC CIRCUITS AND SYSTEM,,4,16,18,11:00-11:50,M W F,0202 TABOR AGR ACAD,"Uy, Domingo",Main Campus
1,ELET,3311L,51,25981,ELECTRONIC CIRCUITS & SYS LAB,- No-cost:$0 required txtbk cost,0,16,18,03:00-04:50,F,0214 TABOR AGR ACAD,"Uy, Domingo",Main Campus
1,ELET,3500,1,27620,DIGITAL SYSTEMS,- No-cost:$0 required txtbk cost,4,9,15,01:00-01:50,M W F,0203 TABOR AGR ACAD,"Qiu, Hao",Main Campus
1,ELET,3500%,51,27621,DIGITAL SYSTEMS -LAB,- No-cost:$0 required txtbk cost,0,9,15,03:30-05:20,T,0214 TABOR AGR ACAD,"Qiu, Hao",Main Campus
1,ELET,3601,1,27288,COMM CIRCUITS AND SYSTEMS I,- No-cost:$0 required txtbk cost,3,7,15,02:00-02:50,M W,0203 TABOR AGR ACAD,"Qiu, Hao",Main Campus
1,ELET,3601L,51,27289,COMM CIRCUITS AND SYS I LAB,- No-cost:$0 required txtbk cost,0,7,15,03:00-04:50,W,0214 TABOR AGR ACAD,"Qiu, Hao",Main Campus
1,ELET,3800,1,27622,BASIC E/M/ELECTRICAL MACH,,4,12,15,09:00-09:50,M W F,0203 TABOR AGR ACAD,"Eldurssi, Awad",Main Campus
1,ELET,3800L,51,27623,BASIC E/M ELECT MACH LAB,- No-cost:$0 required txtbk cost,0,12,15,03:30-05:20,R,0213 TABOR AGR ACAD,"Eldurssi, Awad",Main Campus
1,ELET,3901,1,23744,SPECIAL TOPICS & PROJECTS,- No-cost:$0 required txtbk cost,1,9,15,12:30-01:45,T,0202 TABOR AGR ACAD,"Uy, Domingo",Main Campus
1,ELET,4200,1,26474,TRANSFORM APPLICATIONS,,3,6,15,10:00-10:50,M W F,0202 TABOR AGR ACAD,"Uy, Domingo",Main Campus
1,ELET,4312,1,27290,APPL OPER AMPLIFER,- $40 or under req txtbks cost,3,5,15,02:00-03:15,T R,0203 TABOR AGR ACAD,"Eldurssi, Awad",Main Campus
1,ELET,4312L,51,27291,APPL OPER AMPLIFER LAB,- No-cost:$0 required txtbk cost,0,5,15,03:00-04:50,M,0214 TABOR AGR ACAD,"Eldurssi, Awad",Main Campus
1,ELET,4701,1,27849,ENGINEERING ETHICS,,1,6,15,09:30-10:45,T,0202 TABOR AGR ACAD,"Uy, Domingo",Main Campus
1,ENGG,2123,1,25256,ENGIN MECHANICS I,,3,4,10,03:30-04:45,T R,0302 COMPUTER TECHNOLOGY/MATHE,"Wang, Haixin",Main Campus
1,ENGL,999,1,27556,SUPPORT FOR ENGLISH,,1,10,15,09:30-10:20,T R,0102 MILLER HALL,"Steele, Harriette",Main Campus
